Date,Open,High,Low,Close
01 January 2015,"?27,486","?27,546","?27,395","?27,508"
02 January 2015,"?27,521","?27,937","?27,519","?27,888"
03 January 2015,"?27,978","?28,064","?27,787","?27,842"
04 January 2015,"?27,694","?27,699","?26,937","?26,987"
05 January 2015,"?26,983","?27,052","?26,776","?26,909"
06 January 2015,"?27,179","?27,316","?27,102","?27,275"
07 January 2015,"?27,404","?27,508","?27,120","?27,458"
08 January 2015,"?27,524","?27,621","?27,324","?27,585"
09 January 2015,"?27,612","?27,670","?27,325","?27,426"
10 January 2015,"?27,432","?27,513","?27,203","?27,347"
11 January 2015,"?27,831","?28,195","?27,704","?28,076"
12 January 2015,"?28,057","?28,176","?27,945","?28,122"
13 January 2015,"?28,250","?28,334","?28,197","?28,262"
14 January 2015,"?28,325","?28,829","?28,325","?28,785"
15 January 2015,"?28,843","?28,958","?28,793","?28,889"
16 January 2015,"?28,958","?29,060","?28,892","?29,006"
17 January 2015,"?29,189","?29,409","?29,166","?29,279"
18 January 2015,"?29,452","?29,619","?29,286","?29,571"
19 January 2015,"?29,566","?29,786","?29,418","?29,559"
20 January 2015,"?29,516","?29,741","?29,378","?29,682"
21 January 2015,"?29,802","?29,844","?29,070","?29,183"
22 January 2015,"?29,144","?29,268","?28,959","?29,122"
23 January 2015,"?29,217","?29,253","?28,900","?29,000"
24 January 2015,"?29,130","?29,134","?28,825","?28,883"
25 January 2015,"?28,912","?29,278","?28,753","?28,851"
26 January 2015,"?28,892","?28,923","?28,647","?28,718"
27 January 2015,"?28,567","?28,567","?28,183","?28,227"
28 January 2015,"?28,122","?28,634","?28,044","?28,356"
29 January 2015,"?28,450","?28,619","?28,424","?28,534"
30 January 2015,"?28,650","?28,839","?28,406","?28,805"
31 January 2015,"?28,889","?29,155","?28,836","?29,095"
01 February 2015,"?29,171","?29,325","?29,083","?29,136"
02 February 2015,"?29,136","?29,411","?29,127","?29,320"
03 February 2015,"?29,435","?29,523","?29,108","?29,462"
04 February 2015,"?29,446","?29,462","?29,178","?29,231"
05 February 2015,"?29,317","?29,363","?28,913","?28,975"
06 February 2015,"?29,017","?29,131","?28,876","?29,005"
07 February 2015,"?29,115","?29,270","?28,968","?29,008"
08 February 2015,"?29,052","?29,069","?28,694","?28,747"
09 February 2015,"?28,865","?29,254","?28,837","?29,220"
10 February 2015,"?29,411","?29,560","?28,882","?29,362"
11 February 2015,"?29,533","?29,576","?29,260","?29,459"
12 February 2015,"?29,500","?29,637","?29,365","?29,594"
13 February 2015,"?29,937","?30,025","?29,289","?29,381"
14 February 2015,"?29,437","?29,518","?29,162","?29,449"
15 February 2015,"?29,317","?29,321","?28,800","?28,845"
16 February 2015,"?28,924","?28,949","?28,584","?28,710"
17 February 2015,"?28,726","?28,843","?28,608","?28,659"
18 February 2015,"?28,799","?28,971","?28,773","?28,930"
19 February 2015,"?29,135","?29,184","?28,448","?28,503"
20 February 2015,"?28,546","?28,582","?28,384","?28,438"
21 February 2015,"?28,595","?28,784","?28,435","?28,736"
22 February 2015,"?28,767","?28,807","?28,547","?28,622"
23 February 2015,"?28,805","?28,979","?28,412","?28,470"
24 February 2015,"?28,465","?28,484","?28,210","?28,261"
25 February 2015,"?28,317","?28,385","?28,164","?28,192"
26 February 2015,"?28,209","?28,455","?28,130","?28,162"
27 February 2015,"?28,216","?28,250","?28,031","?28,112"
28 February 2015,"?27,938","?27,997","?27,385","?27,458"
01 March 2015,"?27,650","?27,694","?27,248","?27,459"
02 March 2015,"?27,656","?28,018","?27,625","?27,976"
03 March 2015,"?28,070","?28,181","?27,868","?27,957"
04 March 2015,"?27,955","?28,298","?27,889","?28,260"
05 March 2015,"?28,352","?28,531","?28,222","?28,504"
06 March 2015,"?28,582","?28,641","?28,274","?28,517"
07 March 2015,"?28,601","?28,763","?28,567","?28,708"
08 March 2015,"?28,858","?28,907","?28,622","?28,885"
09 March 2015,"?28,889","?28,908","?28,757","?28,879"
10 March 2015,"?28,955","?29,073","?28,844","?29,044"
11 March 2015,"?29,087","?29,095","?28,722","?28,800"
12 March 2015,"?28,876","?28,876","?28,498","?28,666"
13 March 2015,"?28,683","?28,696","?28,404","?28,442"
14 March 2015,"?28,526","?28,539","?27,802","?27,886"
15 March 2015,"?27,861","?27,977","?27,598","?27,676"
16 March 2015,"?27,757","?27,947","?27,385","?27,890"
17 March 2015,"?27,977","?28,088","?27,621","?27,735"
18 March 2015,"?27,805","?27,829","?27,345","?27,438"
19 March 2015,"?27,565","?27,567","?27,142","?27,177"
20 March 2015,"?27,216","?27,482","?27,073","?27,396"
21 March 2015,"?27,396","?27,439","?27,177","?27,226"
22 March 2015,"?27,242","?27,242","?26,898","?27,011"
23 March 2015,"?27,205","?27,538","?27,159","?27,491"
24 March 2015,"?27,561","?27,604","?27,338","?27,440"
25 March 2015,"?27,473","?27,501","?26,678","?26,717"
26 March 2015,"?26,721","?26,850","?26,424","?26,599"
27 March 2015,"?26,814","?27,196","?26,814","?27,105"
28 March 2015,"?27,249","?27,544","?27,231","?27,507"
29 March 2015,"?27,503","?27,503","?26,837","?26,877"
30 March 2015,"?27,024","?27,300","?26,750","?27,251"
31 March 2015,"?27,290","?27,294","?26,949","?27,206"
01 April 2015,"?27,234","?27,380","?27,160","?27,324"
02 April 2015,"?27,417","?27,726","?27,370","?27,687"
03 April 2015,"?27,663","?27,872","?27,574","?27,646"
